Sum of มูลค่า,Column Labels,,,,,,,,,,,
ระนอง,42665659,112716262,174146923,210915568,516669348,255102841,17474283,17139601,,73816937,69820017,1490467439
ระยอง,38274806,77297964,32132909,85110210,131606984,146149198,221014557,7429010,48133207,60627204,93464665,941240714
ราชบุรี,175345331,193463873,224134163,351688695,424140602,427233783,40750255,55481083,58654043,94749073,236558431,2282199332
ลพบุรี,57631929,61362151,71146820,81129847,80427661,91780838,32100,32100,32100,21400,41301747,484898693
ลำปาง,191444199,130858863,104477703,3022182,92634563,106057651,24105512,25368195,70844585,82393472,96784475,927991400
ลำพูน,84845014,75814176,47289160,88045319,68063313,59090998,247454836,394137870,289254413,160539838,116785210,1631320147
ศรีสะเกษ,516629,3526,1006656,2476687,3208377,26806447,8725641,14149318,103477347,62065471,326470331,548906430
สกลนคร,236874530,189666255,151070521,126689050,91665182,130971273,88991238,21188511,71588511,79634427,119014369,1307353867
สงขลา,609655392,585615260,688768546,800537677,768562273,652219022,199045078,205450721,243124513,234525646,300175835,5287679963
สตูล,1166800,16047193,19877563,15844735,14686890,7011450,,321136,6658,3700,3700,74969825
สมุทรปราการ,664556376,743376934,830713914,738550368,1092860242,1331342279,273238598,421997139,111342519,137447090,150302665,6495728124
สมุทรสงคราม,11686094,14824244,16071782,,15105230,13460166,19630229,0,0,7510612,10321339,108609696
สมุทรสาคร,639081001,635309639,707877019,326667786,669475803,715429998,82702237,187167300,142239744,72068018,83507590,4261526135
สระแก้ว,41921090,38970517,38836796,4955880,37250099,38669820,122060260,20990114,50555916,37391247,131457270,563059009
สระบุรี,363013705,411946036,432498122,250738324,367492967,381565209,56020839,62012806,52575227,53714294,56582207,2488159736
สิงห์บุรี,61770183,,70962634,,75661112,85854361,50125102,53147675,59653151,72669160,78905160,608748538
สุโขทัย,454762933,508746264,485970401,449017984,21414065,374996244,151114394,506372610,226902421,214544693,212589531,3606431540
สุพรรณบุรี,23658979,26621307,9804703,10532613,9756427,8134088,309409754,431684311,204553475,211490334,229799175,1475445166
สุราษฎร์ธานี,1176131120,1214843338,1064179177,831377536,836073930,817164200,175534700,128047963,132328483,341042238,383459224,7100181909
สุรินทร์,279753837,289457059,242915136,190368186,192426290,266600066,101783280,93812394,95713485,109820747,131531695,1994182175
หนองคาย,292410358,451065244,445857004,378447111,494438863,534856095,,25583886,59784031,109752912,186977968,2979173472
หนองบัวลำภู,51159699,96491587,85468164,86733496,102483315,108270171,11400,11400,5578909,5612504,8241035,550061680
อ่างทอง,23589598,24560707,21594485,7566318,26222869,25004300,25602582,50740380,127047118,94463221,180942939,607334517
อำนาจเจริญ,24545454,16268958,23982702,16119697,16350593,19568357,10216619,,,,,127052380
อุดรธานี,653726329,810467728,605597879,497021110,321881259,293670187,27469527,2997252,14294821,33202526,116718297,3377046915
อุตรดิตถ์,76355925,84925821,82601755,79193538,71177287,68545489,34553042,27391282,8011776,45742973,47862653,626361541
อุทัยธานี,24369753,30001334,22407015,15688041,11051353,2217170,,899643,1087089,1082784,3383821,112188003
อุบลราชธานี,354559300,284178702,327575883,274044219,299774969,814457292,66306212,120427808,194965368,290190784,461086552,3487567089
ผลรวมทั้งสิ้น,26117487744,25667855057,25170395289,19884775445,21894900564,24021421130,15968466576,13912196466,12493781161,12852523232,15890076458,2.14E+11
