TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,
January-December 2018,,,,,,
,,,,,,
,,,,,,
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,
East Asia,26225446,7,5907,183,1068972,33085
Asean,10348768,6,5453,169,318817,9867
Brunei,18460,7,6865,212,845,26
Cambodia,950980,7,5669,175,36713,1136
Indonesia,644479,6,4736,147,17369,538
Laos,1682304,6,5382,167,50340,1558
Malaysia,4042998,5,5342,165,104526,3235
Myanmar,379880,7,5977,185,15234,472
Philippines,407832,8,5076,157,16583,513
Singapore,1168112,6,6363,197,42146,1304
Vietnam,1053723,7,5088,157,35061,1085
China,10625167,8,6334,196,522265,16164
Hong Kong,1047559,6,6604,204,40265,1246
Japan,1642712,9,5458,169,80420,2489
Korea,1785147,7,5521,171,71159,2202
Taiwan,674172,8,5592,173,30954,958
Others in East Asia,101921,7,6920,214,5092,158
Europe,6603695,17,4180,129,465086,14395
Austria,114768,17,4566,141,8694,269
Belgium,116346,17,3926,122,7716,239
Denmark,170044,17,5360,166,15222,471
Finland,135384,17,4846,150,10970,340
France,724350,17,3540,110,44596,1380
Germany,872185,17,3611,112,54450,1685
Italy,263515,16,4011,124,16488,510
Netherlands,226618,17,4097,127,16110,499
Norway,133020,16,5343,165,11641,360
Russia,1466457,17,4233,131,105028,3251
Spain,176597,15,4050,125,10999,340
Sweden,304206,19,4640,144,27002,836
Switzerland,225985,17,4514,140,17199,532
United Kingdom,954404,18,4287,133,72459,2243
East Europe,487669,14,4467,138,30935,957
Others in Europe,232147,15,4528,140,15577,482
The Americas,1534008,15,4880,151,111246,3443
Argentina,43485,15,4439,137,2911,90
Brazil,57105,14,5205,161,4105,127
Canada,252763,18,4254,132,19292,597
USA,1096177,14,5034,156,79071,2447
Others  in America,84478,13,5311,164,5869,182
South Asia,1935883,8,5848,181,87058,2694
Bangladesh,125809,8,6287,195,6486,201
India,1562878,7,5777,179,66723,2065
Nepal,55482,10,5476,169,3065,95
Pakistan,78256,10,5983,185,4799,149
Sri Lanka,62697,7,6024,186,2780,86
Others in South Asia,50761,9,6752,209,3205,99
Oceania,911038,13,5539,171,67513,2090
Australia,802234,13,5593,173,60256,1865
New Zealand,100887,13,5070,157,6736,208
Others  in Ociania,7917,12,5686,176,520,16
Middle East,767796,13,6244,193,61795,1913
Egypt,18161,11,7073,219,1449,45
Israel,185366,17,5218,162,16782,519
Kuwait,77365,13,7255,225,7375,228
Saudi Arabia,35090,13,7407,229,3262,101
U.A.E.,151137,11,7110,220,11401,353
Others in Middle East,300677,11,6308,195,21527,666
Africa,200328,13,5686,176,14466,448
South  Africa,97071,14,4951,153,6512,202
Others in Africa,103257,12,6473,200,7954,246
Grand Total,38178194,9,5290,164,1876137,58067
Note: Exchange rate 1 US$ = 32.31 Baht,,,,,,
