TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,
January-December 2016,,,,,,
,,,,,,
,,,,,,Unit : Baht/Person/Day
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,
East Asia,21861353,7,5846,166,894557,25342
Asean,8897291,6,5285,150,260036,7366
Brunei,17994,8,6382,181,865,25
Cambodia,684836,6,4911,139,21593,612
Indonesia,558499,6,5245,149,16903,479
Laos,1414916,6,4661,132,37529,1063
Malaysia,3506199,5,5374,152,89314,2530
Myanmar,363871,8,5339,151,15036,426
Philippines,323860,7,5013,142,11933,338
Singapore,1163309,5,6293,178,40046,1134
Vietnam,863807,6,5192,147,26818,760
China,8779196,8,6306,179,456184,12923
Hong Kong,732417,6,6427,182,29701,841
Japan,1416903,8,5353,152,60824,1723
Korea,1449617,8,5655,160,63366,1795
Taiwan,513528,8,5489,156,21282,603
Others in East Asia,72401,7,6078,172,3164,90
Europe,6008398,17,4246,120,432959,12265
Austria,97989,16,4672,132,7348,208
Belgium,112140,17,4033,114,7539,214
Denmark,163406,16,5322,151,14219,403
Finland,131207,16,5001,142,10583,300
France,697738,18,3868,110,47413,1343
Germany,825496,17,3724,105,53391,1512
Italy,248903,16,4017,114,15987,453
Netherlands,228443,17,4258,121,16740,474
Norway,134335,16,5170,146,10877,308
Russia,1085890,17,4446,126,81635,2313
Spain,168264,16,3961,112,10378,294
Sweden,329070,19,4280,121,26618,754
Switzerland,226412,17,4479,127,16977,481
United Kingdom,961471,18,4218,120,72639,2058
East Europe,379153,15,4505,128,25161,713
Others in Europe,218481,15,4632,131,15455,438
The Americas,1341473,15,4984,141,99160,2809
Argentina,46390,16,4617,131,3408,97
Brazil,63139,15,5269,149,4867,138
Canada,222358,18,4577,130,18758,531
USA,938862,14,5112,145,67148,1902
Others  in America,70724,14,4934,140,4979,141
South Asia,1405634,8,5633,160,61285,1736
Bangladesh,103616,8,5802,164,4713,134
India,1076970,8,5642,160,45934,1301
Nepal,43170,10,5107,145,2112,60
Pakistan,71720,9,5406,153,3672,104
Sri Lanka,67876,7,5930,168,2874,81
Others in South Asia,42282,8,5790,164,1980,56
Oceania,918538,14,5601,159,70837,2007
Australia,813017,14,5669,161,63553,1800
New Zealand,99402,14,5050,143,6882,195
Others  in Ociania,6119,13,5035,143,402,11
Middle East,821458,12,6162,175,62819,1780
Egypt,24913,11,6381,181,1709,48
Israel,161254,17,4987,141,13986,396
Kuwait,68168,13,6890,195,5960,169
Saudi Arabia,33038,12,7212,204,2742,78
U.A.E.,187665,10,7206,204,13401,380
Others in Middle East,346420,12,6232,177,25021,709
Africa,172734,12,5610,159,11880,337
South  Africa,76541,14,5203,147,5484,155
Others in Africa,96193,11,6007,170,6396,181
Grand Total,32529588,10,5253,149,1633498,46275
Note: Exchange rate 1 US$ = 35.30 Baht,,,,,,
