TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,
January-December 2020,,,,,,
,,,,,,
,,,,,,
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,
East Asia,3786050,10,4258,136,173385,5539
Asean,1645994,9,3591,115,63176,2018
    Brunei,2444,10,6650,212,167,5
    Cambodia,164270,9,6112,195,10024,320
    Indonesia,96993,7,3875,124,2644,84
    Laos,382246,8,3769,120,13436,429
    Malaysia,612922,8,3017,96,17493,559
    Myanmar,54941,13,2306,74,2631,84
    Philippines,68359,18,2818,90,5870,188
    Singapore,132511,7,4798,153,4442,142
    Vietnam,131308,12,3732,119,6469,207
China,1302137,10,5073,162,69720,2227
Hong Kong,131988,7,5686,182,5579,178
Japan,314044,11,3813,122,15044,481
Korea,262313,10,4547,145,13132,420
Taiwan,114275,11,4019,128,5411,173
Others,15299,12,6471,207,1324,42
Europe,2051738,18,3244,104,132526,4234
Austria,34599,18,3425,109,2411,77
Belgium,25872,19,4005,128,2380,76
Denmark,62962,18,4574,146,5631,180
Finland,57927,18,4455,142,5021,160
France,231614,18,2885,92,14765,472
Germany,231260,18,2806,90,12860,411
Italy,58327,17,3149,101,3818,122
Netherlands,50441,20,3208,102,3891,124
Norway,39082,20,4446,142,3960,127
Russia,586381,16,3310,106,34613,1106
Spain,26499,16,3168,101,1668,53
Sweden,108921,20,3042,97,7274,232
Switzerland,54006,20,3776,121,4585,147
United Kingdom,215861,19,3049,97,15478,495
East Europe,211106,15,3123,100,10863,347
Others,56880,16,3245,104,3308,106
The Americas,311250,15,3339,107,17795,569
Argentina,12461,16,2499,80,646,21
Brazil,18200,13,3943,126,999,32
Canada,55984,17,2975,95,3265,104
USA,208608,15,3474,111,11973,383
Others,15997,14,3333,106,911,29
South Asia,326888,10,3918,125,13977,447
Bangladesh,22913,11,5848,187,1698,54
India,265223,9,3584,115,9744,311
Nepal,10396,12,4302,137,566,18
Pakistan,11519,14,4057,130,805,26
Sri Lanka,8375,11,4325,138,458,15
Others,8462,13,5772,184,705,23
Oceania,138974,13,3667,117,7516,240
Australia,123743,13,3567,114,6348,203
New Zealand,13773,16,4357,139,1122,36
Others,1458,8,3783,121,47,1
Middle East,85230,17,4173,133,8017,256
Egypt,3084,20,2616,84,291,9
Israel,29568,17,3225,103,1973,63
Kuwait,11149,19,5718,183,1910,61
Saudi Arabia,6372,15,5870,188,638,20
U.A.E.,9550,17,5173,165,1054,34
Others,25507,17,3897,124,2151,69
Africa,25063,18,3192,102,2151,69
South  Africa,9692,19,3369,108,901,29
Others,15371,18,3073,98,1250,40
Grand Total,6725193,13,3738,119,355367,11354
Note: Exchange rate 1 US$ = 31.30 Baht,,,,,,
