,สะสมรายงานเบื้องต้นเดือนมกราคม - เดือนธันวาคม ปี 2566(P),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,อัตราการเข้าพัก,,,จำนวนผู้เข้าพัก (คน),,,จำนวนผู้เยี่ยมเยือนทั้งหมด (คน),,,จำนวนผู้เยี่ยมเยือนคนไทย (คน),,,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),,,รายได้จากผู้เยี่ยมเยือน (ล้านบาท),,,รายได้จากผู้เยี่ยมเยือนคนไทย (ล้านบาท),,,รายได้จากผู้เยี่ยมเยือนชาวต่างชาติ (ล้านบาท),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2566(P),2565 (P),การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,2566(P),2565 (P),%การเปลี่ยนแปลง,,,,
,หนองคาย,65.20,50.20,+15.00," 1,038,747 "," 769,564 ",+34.98," 3,157,890 "," 2,127,210 ",+48.45," 2,307,922 "," 1,793,269 ",+28.70," 849,968 "," 333,941 ",+154.53," 7,233 ","3,350.03",+115.91," 5,304 ","2,584.21",+105.27," 1,929 ",765.82,+151.85,,,,
,หนองบัวลำภู,38.76,29.42,+9.34," 97,733 "," 82,902 ",+17.89," 316,435 "," 274,960 ",+15.08," 314,065 "," 274,001 ",+14.62," 2,370 ", 959 ,+147.13, 366 ,209.16,+75.13, 364 ,208.18,+74.90, 2 ,0.98,+124.49,,,,
,อุดรธานี,64.27,48.82,+15.45," 1,620,708 "," 1,236,008 ",+31.12," 4,333,790 "," 3,160,929 ",+37.10," 3,444,141 "," 2,997,176 ",+14.91," 889,649 "," 163,753 ",+443.29," 11,995 ","6,053.18",+98.16," 8,901 ","5,501.93",+61.78," 3,094 ",551.25,+461.22,,,,
,ชัยภูมิ,57.80,35.95,+21.85," 805,247 "," 588,165 ",+36.91," 1,653,013 "," 1,055,952 ",+56.54," 1,647,513 "," 1,051,961 ",+56.61," 5,500 "," 3,991 ",+37.81," 2,485 ","1,452.85",+71.04," 2,472 ","1,443.95",+71.18, 13 ,8.90,+47.53,,,,
,นครราชสีมา,68.59,52.58,+16.01," 4,695,863 "," 3,717,182 ",+26.33," 7,939,895 "," 6,137,869 ",+29.36," 7,785,906 "," 6,056,308 ",+28.56," 153,989 "," 81,561 ",+88.80," 14,895 ","10,044.66",+48.29," 14,389 ","9,792.24",+46.94, 506 ,252.42,+100.55,,,,
,บุรีรัมย์,70.93,62.47,+8.46," 1,686,466 "," 1,443,774 ",+16.81," 3,449,347 "," 2,915,436 ",+18.31," 3,411,105 "," 2,895,776 ",+17.80," 38,242 "," 19,660 ",+94.52," 7,408 ","5,902.49",+25.50," 7,304 ","5,853.36",+24.79, 103 ,49.13,+110.34,,,,
,มุกดาหาร,44.13,46.06,-1.93," 419,111 "," 423,291 ",-0.99," 1,735,548 "," 1,625,032 ",+6.80," 1,620,113 "," 1,565,399 ",+3.50," 115,435 "," 59,633 ",+93.58," 3,247 ","2,280.30",+42.39," 2,984 ","2,139.95",+39.43, 263 ,140.35,+87.42,,,,
,ยโสธร,40.65,37.39,+3.26," 127,509 "," 118,863 ",+7.27," 505,391 "," 431,105 ",+17.23," 503,420 "," 429,851 ",+17.12," 1,971 "," 1,254 ",+57.18, 525 ,424.55,+23.56, 521 ,422.45,+23.43, 3 ,2.10,+50.95,,,,
,ร้อยเอ็ด,46.46,32.35,+14.11," 346,541 "," 260,692 ",+32.93," 804,841 "," 613,375 ",+31.22," 793,367 "," 607,864 ",+30.52," 11,474 "," 5,511 ",+108.20," 1,164 ",780.87,+49.00," 1,133 ",767.53,+47.68, 30 ,13.34,+125.11,,,,
,ศรีสะเกษ,46.18,43.74,+2.44," 313,865 "," 311,598 ",+0.73," 905,901 "," 895,243 ",+1.19," 901,572 "," 892,417 ",+1.03," 4,329 "," 2,826 ",+53.18," 1,165 ","1,041.98",+11.77," 1,153 ","1,035.15",+11.43, 11 ,6.83,+63.69,,,,
