TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS,,,,,,
January-December 2017,,,,,,
,,,,,,
,,,,,,Unit : Baht/Person/Day
Country,No. of Arrivals,Length of Stay,Per Capita Spending,,Tourism Receipts,
East Asia,24166276,7,6072,179,1024239,30178
Asean,9644324,6,5498,162,299045,8811
Brunei,18249,7,6682,197,905,27
Cambodia,851879,7,5475,161,31205,919
Indonesia,594060,6,5161,152,18489,545
Laos,1692866,6,5205,153,50135,1477
Malaysia,3493112,5,5507,162,95410,2811
Myanmar,387722,7,5714,168,16462,485
Philippines,361218,7,5024,148,13301,392
Singapore,1259523,5,6393,188,43482,1281
Vietnam,985695,6,5205,153,29655,874
China,9846818,8,6545,193,520722,15342
Hong Kong,798460,6,6671,197,32917,970
Japan,1525707,8,5596,165,66680,1965
Korea,1698608,8,5849,172,75507,2225
Taiwan,560441,8,5734,169,24936,735
Others in East Asia,91918,7,6470,191,4431,131
Europe,6322166,17,4258,125,463603,13659
Austria,104220,17,4640,137,7983,235
Belgium,112635,17,4001,118,7679,226
Denmark,157923,16,5272,155,13695,404
Finland,138926,17,5087,150,12114,357
France,693426,18,3714,109,45510,1341
Germany,837318,17,3639,107,53225,1568
Italy,244982,16,4056,120,15849,467
Netherlands,215433,18,4113,121,15770,465
Norway,130200,16,5346,158,11213,330
Russia,1340376,17,4414,130,102658,3025
Spain,178954,16,4097,121,11547,340
Sweden,317797,19,4544,134,27642,814
Switzerland,227152,17,4582,135,17703,522
United Kingdom,945061,18,4290,126,73992,2180
East Europe,445521,15,4554,134,29867,880
Others in Europe,232242,16,4637,137,17155,505
The Americas,1448894,15,5000,147,109104,3215
Argentina,62738,17,4427,130,4624,136
Brazil,71349,15,5305,156,5609,165
Canada,227069,19,4324,127,18350,541
USA,1006939,14,5204,153,74307,2189
Others  in America,80799,15,5199,153,6213,183
South Asia,1639528,8,5799,171,73300,2160
Bangladesh,125580,8,6297,186,6563,193
India,1281681,7,5733,169,54739,1613
Nepal,43782,10,5353,158,2294,68
Pakistan,76784,10,5753,170,4391,129
Sri Lanka,63386,7,6007,177,2780,82
Others in South Asia,48315,8,6355,187,2533,75
Oceania,947777,14,5618,166,73908,2178
Australia,837485,14,5671,167,65776,1938
New Zealand,102328,14,5209,153,7542,222
Others  in Ociania,7964,13,5494,162,590,17
Middle East,875043,13,6469,191,72740,2143
Egypt,19730,11,6901,203,1517,45
Israel,174815,18,5250,155,16613,489
Kuwait,80895,14,7451,220,8366,247
Saudi Arabia,42610,12,7490,221,3893,115
U.A.E.,199475,10,7490,221,15090,445
Others in Middle East,357518,12,6484,191,27260,803
Africa,192294,13,5856,173,14211,419
South  Africa,91182,14,5187,153,6820,201
Others in Africa,101112,11,6645,196,7391,218
Grand Total,35591978,10,5404,159,1831105,53951
Note: Exchange rate 1 US$ = 33.94 Baht,,,,,,
